dataset name,species,grouper,motifs
RXR-related receptors,MOUSE,tfclass_family,COT2.H12CORE.1.P.B;HNF4A.H12CORE.0.PSM.A;NR2E1.H12CORE.1.S.B;RXRA.H12CORE.3.P.B;RXRA.H12CORE.1.S.C;RXRG.H12CORE.0.P.B;RXRG.H12CORE.2.P.B
SOX-related,MOUSE,tfclass_family,SOX1.H12CORE.1.S.B;SOX1.H12CORE.0.S.B;SOX11.H12CORE.0.P.B;SOX11.H12CORE.1.S.B;SOX15.H12CORE.0.P.B;SOX17.H12CORE.0.PS.A;SOX17.H12CORE.2.S.C;SOX2.H12CORE.0.P.B;SOX2.H12CORE.1.P.B;SOX30.H12CORE.0.P.C;SOX5.H12CORE.0.P.B;SOX6.H12CORE.0.P.B;SOX7.H12CORE.0.PS.A
STAT,MOUSE,tfclass_family,STA5A.H12CORE.0.P.B;STA5B.H12CORE.0.P.B;STAT1.H12CORE.0.P.B;STAT4.H12CORE.0.P.B;STAT6.H12CORE.0.P.B
TALE-type HD,MOUSE,tfclass_family,IRX3.H12CORE.1.S.B;MEIS1.H12CORE.0.P.B;MEIS1.H12CORE.1.PS.A;MEIS3.H12CORE.0.SM.B;PBX1.H12CORE.0.P.B;PBX1.H12CORE.2.P.B;PBX1.H12CORE.1.P.B;PKNX1.H12CORE.1.P.B;PKNX1.H12CORE.0.P.B;TGIF1.H12CORE.0.PSM.A
Tal-related,MOUSE,tfclass_family,BHA15.H12CORE.0.P.B;NDF1.H12CORE.0.P.B;NDF2.H12CORE.0.P.B;NGN2.H12CORE.0.P.B;OLIG2.H12CORE.0.P.B;OLIG2.H12CORE.1.P.B;PTF1A.H12CORE.0.P.B;PTF1A.H12CORE.1.PS.A;TAL1.H12CORE.0.P.B;TWST2.H12CORE.1.P.B;TWST2.H12CORE.0.P.B
Three-zinc finger Kruppel-related,MOUSE,tfclass_family,EGR3.H12CORE.0.PSM.A;KLF3.H12CORE.0.PS.A;SP1.H12CORE.2.P.B;SP1.H12CORE.0.P.B;SP3.H12CORE.0.P.B;SP5.H12CORE.1.P.B;SP7.H12CORE.0.P.B;SP9.H12CORE.0.P.B
Thyroid hormone receptor-related,MOUSE,tfclass_family,NR1D1.H12CORE.0.P.B;NR1D2.H12CORE.0.P.B;NR1H2.H12CORE.0.P.C;NR1H2.H12CORE.1.P.C;NR1H3.H12CORE.0.P.B;NR1H3.H12CORE.1.P.B;NR1H4.H12CORE.0.P.B;NR1H4.H12CORE.2.P.B;NR1I3.H12CORE.0.P.B;PPARA.H12CORE.0.P.B;PPARA.H12CORE.1.P.B;PPARD.H12CORE.0.PSM.A;PPARG.H12CORE.0.P.B;PPARG.H12CORE.1.P.B;RARA.H12CORE.3.P.B;RARA.H12CORE.1.P.B;RARB.H12CORE.1.P.B;RARG.H12CORE.3.S.B;RORA.H12CORE.0.P.C;RORG.H12CORE.1.PS.A;THA.H12CORE.0.P.B;THA.H12CORE.1.PS.A
Basic helix-loop-helix factors (bHLH),MOUSE,tfclass_class,AHR.H12CORE.0.P.B;ARNT2.H12CORE.1.P.B;ARNT2.H12CORE.0.P.B;ASCL2.H12CORE.0.PSM.A;BHA15.H12CORE.0.P.B;BHE40.H12CORE.0.PSM.A;BMAL1.H12CORE.0.PSM.A;MXI1.H12CORE.0.P.B;MYF5.H12CORE.0.P.B;MYOD1.H12CORE.0.P.B;MYOD1.H12CORE.1.PSM.A;NDF1.H12CORE.0.P.B;NDF2.H12CORE.0.P.B;NGN2.H12CORE.0.P.B;NPAS3.H12CORE.0.P.C;NPAS4.H12CORE.0.P.B;OLIG2.H12CORE.0.P.B;OLIG2.H12CORE.1.P.B;PTF1A.H12CORE.0.P.B;PTF1A.H12CORE.1.PS.A;TAL1.H12CORE.0.P.B;TFE2.H12CORE.0.PS.A;TFE3.H12CORE.0.PSM.A;TWST2.H12CORE.1.P.B;TWST2.H12CORE.0.P.B;USF1.H12CORE.0.PSM.A;USF2.H12CORE.0.PSM.A
Basic leucine zipper factors (bZIP),MOUSE,tfclass_class,ATF4.H12CORE.1.S.B;BACH2.H12CORE.0.P.B;BATF.H12CORE.1.P.B;CEBPE.H12CORE.0.P.B;CR3L2.H12CORE.0.PS.A;FOS.H12CORE.0.P.B;FOSB.H12CORE.0.P.B;MAFB.H12CORE.0.PS.A;MAFB.H12CORE.1.P.B;MAFF.H12CORE.0.PSM.A;MAFK.H12CORE.1.P.B;NF2L2.H12CORE.0.P.B
C2H2 zinc finger factors,MOUSE,tfclass_class,CTCF.H12CORE.0.P.B;EGR3.H12CORE.0.PSM.A;GFI1.H12CORE.0.PSM.A;GFI1B.H12CORE.0.PSM.A;GLI1.H12CORE.0.P.C;HIC1.H12CORE.0.PSM.A;HIC2.H12CORE.0.P.B;KLF3.H12CORE.0.PS.A;PRD13.H12CORE.0.P.B;PRD14.H12CORE.0.P.B;PRD15.H12CORE.0.P.B;PRD16.H12CORE.0.P.B;PRDM5.H12CORE.0.P.B;PRDM5.H12CORE.1.P.B;PRDM9.H12CORE.0.P.B;REST.H12CORE.0.P.B;SALL1.H12CORE.0.P.C;SALL4.H12CORE.0.P.B;SP1.H12CORE.2.P.B;SP1.H12CORE.0.P.B;SP3.H12CORE.0.P.B;SP5.H12CORE.1.P.B;SP7.H12CORE.0.P.B;SP9.H12CORE.0.P.B;TYY1.H12CORE.0.PSM.A;WT1.H12CORE.1.P.B;WT1.H12CORE.0.P.B;ZF64B.H12CORE.0.P.B;ZF64B.H12CORE.1.P.B;ZFX.H12CORE.0.P.B;ZIC1.H12CORE.0.P.B;ZIC2.H12CORE.0.P.B;ZIC3.H12CORE.0.P.B;ZIC3.H12CORE.1.S.B;ZKSC1.H12CORE.0.P.B;ZN143.H12CORE.0.P.B;ZN281.H12CORE.0.P.B;ZN335.H12CORE.0.P.B;ZN740.H12CORE.1.S.C
